client,Epoch,Loss,Accuracy
0,1,2.247278756532021,48.76489392618425
1,1,2.0109230687735073,79.88956698634118
2,1,1.8953543931128929,85.20778843359489
3,1,1.8335109787636328,86.74803836094158
4,1,1.7877064807480716,88.78233071781459
5,1,1.7833181057702325,88.02673641383319
6,1,1.7581027195866679,89.62510897994768
7,1,1.7524482329539566,89.7704155768672
8,1,1.743219253678471,90.3516419645452
9,1,1.7395212998123477,90.1772740482418
10,1,1.7301016710509876,91.04911362975879
11,1,1.7310364127114073,91.04911362975879
12,1,1.7310364127114073,91.04911362975879
